Dataset,Embedding_model,Metric,mean,sd,sem,n
Clinical,MPNet,conclusion_plus_future_to_background_plus_aim_alignment,0.6444314462797982,0.1411566229413628,0.0201652318487661,49
Clinical,MPNet,conclusion_to_aim_alignment,0.6588065678423102,0.1664007403188679,0.0250858554761385,44
Clinical,MPNet,conclusion_to_background_plus_aim_alignment,0.6431166456670178,0.1421497526366677,0.0203071075195239,49
Clinical,MPNet,conclusion_to_results_alignment,0.5738233139320296,0.1427208265776294,0.0203886895110899,49
Clinical,MPNet,final_similarity_to_opening_anchor,0.4927836715709418,0.1625088681179649,0.0229822245298326,50
Clinical,MPNet,local_discontinuity_burden,0.1798416419321991,0.0777135465197627,0.010990355146836,50
Clinical,MPNet,local_similarity_volatility,0.2222129796735107,0.058490761396645,0.0082718428040664,50
Clinical,MPNet,mean_label_confidence,0.9815471656310666,0.006828710416279,0.000965725488422,50
Clinical,MPNet,mean_local_similarity,0.3798649677288292,0.116067702112867,0.0164144518481496,50
Clinical,MPNet,mean_similarity_to_opening_anchor,0.5140859549079351,0.0972846367924304,0.0137581252762395,50
Clinical,MPNet,mean_similarity_to_own_role_anchor_loo,0.4431462366117775,0.1244828896106691,0.0176045390770801,50
Clinical,MPNet,methods_to_aim_alignment,0.6108616014321645,0.1211372054084905,0.0180580683931826,45
Clinical,MPNet,min_local_similarity,0.0656563008390366,0.1323844765684112,0.018721992221071,50
Clinical,MPNet,n_sentences,11.88,2.6698620311368377,0.3775755094098695,50
Clinical,MPNet,results_to_aim_alignment,0.5083418481879765,0.1799638387096455,0.026827425123105,45
Clinical,MPNet,results_to_methods_alignment,0.6205533453822136,0.1366487183480992,0.0193250470768783,50
Clinical,MPNet,within_Methods_similarity,0.3352545481453542,0.135853047491706,0.0198162036173407,47
Clinical,MPNet,within_Results_similarity,0.4407427108022297,0.184146598416353,0.0271509346897773,46
Clinical,MPNet,within_role_discontinuity_burden,0.0943026295170257,0.0673869006463249,0.0095299468820321,50
Clinical,MiniLM,conclusion_plus_future_to_background_plus_aim_alignment,0.6003099613043726,0.1541698737301179,0.0220242676757311,49
Clinical,MiniLM,conclusion_to_aim_alignment,0.6173654205419801,0.1763060822581153,0.026579141959441,44
Clinical,MiniLM,conclusion_to_background_plus_aim_alignment,0.5989523219818972,0.1550189209987203,0.0221455601426743,49
Clinical,MiniLM,conclusion_to_results_alignment,0.5128438934987906,0.1525677918648064,0.0217953988378294,49
Clinical,MiniLM,final_similarity_to_opening_anchor,0.446718133194372,0.1689513167508881,0.0238933243529898,50
Clinical,MiniLM,local_discontinuity_burden,0.1723787539429954,0.0695933898010846,0.0098419915708211,50
Clinical,MiniLM,local_similarity_volatility,0.2131118250903867,0.065072719538034,0.0092026722511188,50
Clinical,MiniLM,mean_label_confidence,0.9815471656310666,0.006828710416279,0.000965725488422,50
Clinical,MiniLM,mean_local_similarity,0.3295732254067809,0.1038068173804941,0.0146805009006281,50
Clinical,MiniLM,mean_similarity_to_opening_anchor,0.4662610880736675,0.0961084177147072,0.0135917827790357,50
Clinical,MiniLM,mean_similarity_to_own_role_anchor_loo,0.3899718207828803,0.1180881986679307,0.0167001932112396,50
Clinical,MiniLM,methods_to_aim_alignment,0.559597083595064,0.1087705476535701,0.0162145559002175,45
Clinical,MiniLM,min_local_similarity,0.0332618886139244,0.1262695333628503,0.0178572086596264,50
Clinical,MiniLM,n_sentences,11.88,2.6698620311368377,0.3775755094098695,50
Clinical,MiniLM,results_to_aim_alignment,0.4504451867606904,0.1900754381256948,0.0283347733668072,45
Clinical,MiniLM,results_to_methods_alignment,0.5562804444134235,0.1346068581536128,0.019036284438927,50
Clinical,MiniLM,within_Methods_similarity,0.2617135885434853,0.1239248939136862,0.0180763035970973,47
Clinical,MiniLM,within_Results_similarity,0.4087523182936005,0.1634526283616086,0.024099775264295,46
Clinical,MiniLM,within_role_discontinuity_burden,0.089601774816171,0.0615291788840338,0.008701539925948,50
Review,MPNet,conclusion_plus_future_to_background_plus_aim_alignment,0.6753801739215851,0.1462900400380561,0.0206885358661922,50
Review,MPNet,conclusion_to_aim_alignment,0.6613990689845796,0.1514257688308955,0.0220877184830807,47
Review,MPNet,conclusion_to_background_plus_aim_alignment,0.6679139339923859,0.1504801291727258,0.0212811039543724,50
Review,MPNet,conclusion_to_results_alignment,0.6573684394359589,0.1326205125612096,0.0187553727512934,50
Review,MPNet,final_similarity_to_opening_anchor,0.5549367957934738,0.1795842529318661,0.0253970486084885,50
Review,MPNet,local_discontinuity_burden,0.1611094705088513,0.0810821467759615,0.011466747163689,50
Review,MPNet,local_similarity_volatility,0.2259104696520645,0.0591620047203701,0.0083667709452728,50
Review,MPNet,mean_label_confidence,0.9777034546018136,0.0098280124586932,0.0013898908510255,50
Review,MPNet,mean_local_similarity,0.3724361175252856,0.0872484687884052,0.0123387967856848,50
Review,MPNet,mean_similarity_to_opening_anchor,0.4986733168037414,0.0902675460030121,0.0127657587799597,50
Review,MPNet,mean_similarity_to_own_role_anchor_loo,0.4397858064877845,0.0941309857673923,0.0133121316711794,50
Review,MPNet,methods_to_aim_alignment,0.5188886348871474,0.1740735279163659,0.0253912336695292,47
Review,MPNet,min_local_similarity,0.0688718402478843,0.0843050527203439,0.0119225348933689,50
Review,MPNet,n_sentences,13.22,2.6518380225721145,0.3750265296738135,50
Review,MPNet,results_to_aim_alignment,0.5761447618616388,0.1476032522987387,0.0215301471416171,47
Review,MPNet,results_to_methods_alignment,0.6225550615787506,0.1172113041800863,0.0165761816034916,50
Review,MPNet,within_Methods_similarity,0.3271098237855774,0.1413248616929383,0.020189265956134,49
Review,MPNet,within_Results_similarity,0.3582216009700379,0.1432468487344445,0.020463835533492,49
Review,MPNet,within_role_discontinuity_burden,0.0825202256463866,0.0616419079940969,0.0087174822295806,50
Review,MiniLM,conclusion_plus_future_to_background_plus_aim_alignment,0.6371060371398926,0.1482764242495327,0.0209694530153876,50
Review,MiniLM,conclusion_to_aim_alignment,0.6314332694449323,0.1454977948492076,0.021223034608642,47
Review,MiniLM,conclusion_to_background_plus_aim_alignment,0.6290589824318886,0.1447499719303111,0.020470737345697,50
Review,MiniLM,conclusion_to_results_alignment,0.6070645785331726,0.1397507579005932,0.0197637417174937,50
Review,MiniLM,final_similarity_to_opening_anchor,0.5135875276476145,0.1778303248174641,0.025149005715807,50
Review,MiniLM,local_discontinuity_burden,0.1486036789148244,0.0823303931007665,0.0116432758518612,50
Review,MiniLM,local_similarity_volatility,0.2230995366981278,0.0613271748388287,0.0086729722399097,50
Review,MiniLM,mean_label_confidence,0.9777034546018136,0.0098280124586932,0.0013898908510255,50
Review,MiniLM,mean_local_similarity,0.3134045140870968,0.0847741501875395,0.0119888752933872,50
Review,MiniLM,mean_similarity_to_opening_anchor,0.4534446278464509,0.0923772285511734,0.0130641129471508,50
Review,MiniLM,mean_similarity_to_own_role_anchor_loo,0.3756210255929112,0.0904436960042995,0.0127906701520429,50
Review,MiniLM,methods_to_aim_alignment,0.4763302535135695,0.1851179362005815,0.0270022261900056,47
Review,MiniLM,min_local_similarity,0.0211115223541855,0.0722276023991534,0.0102145254890574,50
Review,MiniLM,n_sentences,13.22,2.6518380225721145,0.3750265296738135,50
Review,MiniLM,results_to_aim_alignment,0.539732648654187,0.1478184788471614,0.0215615411602729,47
Review,MiniLM,results_to_methods_alignment,0.5452330303192139,0.1218218223848753,0.0172282073409697,50
Review,MiniLM,within_Methods_similarity,0.2459303425985186,0.1169557615594638,0.0167079659370662,49
Review,MiniLM,within_Results_similarity,0.3055750579843228,0.1284778452417812,0.018353977891683,49
Review,MiniLM,within_role_discontinuity_burden,0.0793862742005156,0.0664605738924844,0.009398944496185,50
