embedding_model_label,outcome,model_name,term,estimate,std_error,t_value,p_value,ci_low,ci_high,r_squared,adj_r_squared,aic,bic,n
MPNet,within_Results_similarity,M0_dataset_only,Intercept,0.4407427108022296,0.0274509541256213,16.05564268496089,5.2195457077031194e-58,0.3869398293747506,0.4945455922297087,0.0604573152302035,0.0503547057165498,-71.55935549193663,-66.45160170873555,95
MPNet,within_Results_similarity,M0_dataset_only,C(Dataset)[T.Review],-0.0825211098321917,0.0343663758963258,-2.4012165286539293,0.0163406641519091,-0.1498779688681558,-0.0151642507962275,0.0604573152302035,0.0503547057165498,-71.55935549193663,-66.45160170873555,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,Intercept,0.4203265987930376,0.0575946630540285,7.298012984271412,2.920484610580642e-13,0.3074431335054218,0.5332100640806533,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,C(Dataset)[T.Review],-0.0854810486854767,0.0345142106227859,-2.4766914016872548,0.0132606502453966,-0.1531276584609668,-0.0178344389099866,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,n_Results,0.0054285615746984,0.0109632829877648,0.4951583919485451,0.6204883184933265,-0.0160590782336413,0.0269162013830383,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,Intercept,0.4102719054694531,0.076316411513896,5.375932873819007,7.618717434216269e-08,0.2606944874728789,0.5598493234660273,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,C(Dataset)[T.Review],-0.0852610460716366,0.0358254915723302,-2.379898846593578,0.0173173910095061,-0.155477719281847,-0.0150443728614261,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,n_sentences,0.0025074365747901,0.005631636920338,0.4452411634945539,0.6561454820752698,-0.0085303689630784,0.0135452421126587,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,Intercept,0.4128244006536042,0.0754218762280399,5.47353660899948,4.411416976316526e-08,0.2650002396002083,0.5606485617070003,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,C(Dataset)[T.Review],-0.0859640425881018,0.0357923714315555,-2.40174202350598,0.016317211167834,-0.1561158015152309,-0.0158122836609726,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,n_Results,0.0045032745453209,0.0136512492079655,0.3298800334472905,0.7414906108023568,-0.0222526822462724,0.0312592313369144,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,n_sentences,0.0009037133640362,0.0069837451580193,0.1294023970789519,0.897039251035009,-0.0127841756228876,0.0145916023509601,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,Intercept,0.4403171547394953,0.0799464746463802,5.507649420279119,3.63656708639777e-08,0.2836249437416455,0.5970093657373451,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,C(Dataset)[T.Review],-0.0863410234527859,0.0348227618884464,-2.479442145610863,0.0131588075447376,-0.154592382596355,-0.0180896643092168,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,n_Results,0.0054759950712401,0.0110032113833849,0.4976724412937303,0.6187149354360623,-0.0160899029544754,0.0270418930969557,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,n_Methods,-0.0049088442774537,0.0118926628348559,-0.4127624187803044,0.6797806881284731,-0.0282180351140494,0.0184003465591418,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,Intercept,0.4759805036673237,0.0813158267817261,5.8534792365204025,4.813943789738119e-09,0.3166044118020429,0.6353565955326046,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review],-0.20368100404799,0.1106941289185303,-1.8400343906034704,0.0657631884689056,-0.4206375100283431,0.0132755019323631,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,n_Results,-0.0093695865421638,0.0171446565391972,-0.5465018515093898,0.584721015355015,-0.0429724958862996,0.0242333228019718,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review]:n_Results,0.02932306031555,0.0227186815967795,1.2907025520225044,0.1968068394022234,-0.0152047373903707,0.0738508580214708,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M6_log_counts,Intercept,0.3850531705426292,0.2001823220292112,1.923512359330316,0.054415735834267,-0.0072969709762238,0.7774033120614823,0.0631706786216529,0.0322861954992897,-67.83410879354057,-57.6186012271384,95
MPNet,within_Results_similarity,M6_log_counts,C(Dataset)[T.Review],-0.0860874083391467,0.035782957297482,-2.4058215094816777,0.0161361463922677,-0.1562207159025462,-0.0159541007757471,0.0631706786216529,0.0322861954992897,-67.83410879354057,-57.6186012271384,95
MPNet,within_Results_similarity,M6_log_counts,log_n_Results,0.0265274111481479,0.0767189034777091,0.3457741175335691,0.7295124779367967,-0.1238388766015666,0.1768936988978625,0.0631706786216529,0.0322861954992897,-67.83410879354057,-57.6186012271384,95
MPNet,within_Results_similarity,M6_log_counts,log_n_sentences,0.0060970144660067,0.095997476582852,0.06351223681119,0.9493586153513665,-0.1820545822431104,0.194248611175124,0.0631706786216529,0.0322861954992897,-67.83410879354057,-57.6186012271384,95
MiniLM,within_Results_similarity,M0_dataset_only,Intercept,0.4087523182936004,0.0243660792078377,16.77546538394728,3.6895711412892163e-63,0.3609956806017881,0.4565089559854127,0.1124000476577296,0.1028559621486729,-93.42932464766454,-88.32157086446347,95
MiniLM,within_Results_similarity,M0_dataset_only,C(Dataset)[T.Review],-0.1031772603092775,0.0306201308660444,-3.3695891360050907,0.0007528033885889,-0.1631916140086279,-0.0431629066099271,0.1124000476577296,0.1028559621486729,-93.42932464766454,-88.32157086446347,95
MiniLM,within_Results_similarity,M1_dataset_plus_n_results,Intercept,0.3879120831069381,0.0484318763362041,8.009437429475833,1.152343484747053e-15,0.2929873497842803,0.4828368164295958,0.1153895576055253,0.0961588958143411,-91.74983254590114,-84.08820187109953,95
MiniLM,within_Results_similarity,M1_dataset_plus_n_results,C(Dataset)[T.Review],-0.1061986887679785,0.0306769309016494,-3.4618420306924684,0.0005364919485042,-0.1663243684914353,-0.0460730090445218,0.1153895576055253,0.0961588958143411,-91.74983254590114,-84.08820187109953,95
MiniLM,within_Results_similarity,M1_dataset_plus_n_results,n_Results,0.0055413342114824,0.0091840490812167,0.6033650476471857,0.5462658688417723,-0.0124590712199506,0.0235417396429155,0.1153895576055253,0.0961588958143411,-91.74983254590114,-84.08820187109953,95
MiniLM,within_Results_similarity,M2_dataset_plus_total_sentences,Intercept,0.4046358040789818,0.066250178080971,6.107693832678241,1.0108101761965023e-09,0.2747878410709137,0.5344837670870499,0.1124321670545058,0.0931372141643863,-91.43276245531224,-83.77113178051061,95
MiniLM,within_Results_similarity,M2_dataset_plus_total_sentences,C(Dataset)[T.Review],-0.1035474174598237,0.032184952062527,-3.21726182032702,0.0012942043495664,-0.1666287643465249,-0.0404660705731225,0.1124321670545058,0.0931372141643863,-91.43276245531224,-83.77113178051061,95
MiniLM,within_Results_similarity,M2_dataset_plus_total_sentences,n_sentences,0.0003387471446734,0.0049989263494372,0.0677639799017171,0.9459735176988672,-0.0094589684615918,0.0101364627509386,0.1124321670545058,0.0931372141643863,-91.43276245531224,-83.77113178051061,95
MiniLM,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,Intercept,0.4092697434904818,0.0674710471391231,6.065857295005079,1.3125163346110434e-09,0.2770289210985962,0.5415105658823675,0.1165667236771056,0.0874425497323947,-89.87633484009308,-79.66082727369091,95
MiniLM,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,C(Dataset)[T.Review],-0.1048236757987317,0.0319642364119751,-3.2794049714718176,0.001040262383297,-0.1674724279595267,-0.0421749236379366,0.1165667236771056,0.0874425497323947,-89.87633484009308,-79.66082727369091,95
MiniLM,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,n_Results,0.0081754909963945,0.0121629696788124,0.6721624087114205,0.501480309432286,-0.0156634915191305,0.0320144735119197,0.1165667236771056,0.0874425497323947,-89.87633484009308,-79.66082727369091,95
MiniLM,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,n_sentences,-0.0025727397163377,0.0067918866651744,-0.3787960316725388,0.7048393344384677,-0.0158845929671575,0.0107391135344821,0.1165667236771056,0.0874425497323947,-89.87633484009308,-79.66082727369091,95
MiniLM,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,Intercept,0.4222253520307226,0.0717763978177393,5.882509639211382,4.040917958409113e-09,0.2815461973679342,0.5629045066935111,0.1228220634701553,0.0939041095186219,-90.5513956104981,-80.33588804409594,95
MiniLM,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,C(Dataset)[T.Review],-0.1076748130707433,0.0309606902704987,-3.477791099940122,0.0005055637634987,-0.1683566509374206,-0.0469929752040661,0.1228220634701553,0.0939041095186219,-90.5513956104981,-80.33588804409594,95
MiniLM,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,n_Results,0.0056227525735924,0.0090710025398554,0.6198601035428702,0.5353498942718212,-0.0121560857081955,0.0234015908553803,0.1228220634701553,0.0939041095186219,-90.5513956104981,-80.33588804409594,95
MiniLM,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,n_Methods,-0.0084259034240164,0.0111648696488826,-0.7546799639402599,0.4504410312341924,-0.0303086458279108,0.0134568389798779,0.1228220634701553,0.0939041095186219,-90.5513956104981,-80.33588804409594,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,Intercept,0.4286032808303493,0.0682608426586511,6.278904041276577,3.4096794273990936e-10,0.2948144876650377,0.5623920739956609,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review],-0.1926202573069481,0.0921826967384313,-2.0895489513992924,0.0366583362961158,-0.3732950229120513,-0.0119454917018448,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,n_Results,-0.0052782906167079,0.0145597961432214,-0.3625250357069943,0.7169597182828646,-0.033814966679667,0.0232583854462512,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review]:n_Results,0.0214394739749313,0.0191968692260903,1.116821379696279,0.2640707055979978,-0.0161856983241311,0.0590646462739938,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M6_log_counts,Intercept,0.438035665136368,0.1882617927488092,2.3267369270238647,0.0199792711916196,0.0690493316837581,0.8070219985889779,0.1170201416388113,0.0879109155389918,-89.92510565872237,-79.7095980923202,95
MiniLM,within_Results_similarity,M6_log_counts,C(Dataset)[T.Review],-0.1051668650258493,0.0319329251148152,-3.293367727751865,0.0009899490843517,-0.1677542481719017,-0.042579481879797,0.1170201416388113,0.0879109155389918,-89.92510565872237,-79.7095980923202,95
MiniLM,within_Results_similarity,M6_log_counts,log_n_Results,0.0427050836278417,0.0669712655657394,0.6376627836892543,0.5236932166532211,-0.0885561848800751,0.1739663521357586,0.1170201416388113,0.0879109155389918,-89.92510565872237,-79.7095980923202,95
MiniLM,within_Results_similarity,M6_log_counts,log_n_sentences,-0.0366835006116592,0.0933965058569367,-0.3927716596577007,0.6944881382489856,-0.2197372883731394,0.146370287149821,0.1170201416388113,0.0879109155389918,-89.92510565872237,-79.7095980923202,95
